PDB,Ligand,Chain,Number,Resolution(A),Ligand Occupation Factor,Ki(M),log(Ki),pKi,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
7T4D, lig_82,  50077204,  8,  2.0,  1.0, 2.8000000000000003e-06, -5.552841968657781, 5.552841968657781, 2.808,   10,  -0.9999999999999998,  -0.025641025641025637,  0.0,  36.096985865724356,  0.0,  25,  3,  7,  0,  0,  0,  0,  0,  -7.957,  79.314,  1589.127,  1.825,  23.056,  2.413,  1.041392685158225
6TZM, lig_83,  51476390,  3,  2.0,  1.0, 2.87e-06, -5.542118103266008, 5.542118103266008, 1.946,   6,  -0.002999999999999876,  -7.894736842104937e-05,  0.0,  36.096985865724356,  0.0,  25,  6,  2,  0,  0,  1,  0,  0,  -12.184,  106.197,  2001.184,  2.219,  100.331,  0.0,  0.8450980400142568
QRTW, lig_84,  50851835,  8,  2.0,  1.0, 3.0880000000000003e-06, -5.510322708336301, 5.510322708336301, 4.144,   3,  0.001000000000000112,  2.6315789473687156e-05,  0.0,  36.096985865724356,  0.0,  20,  7,  3,  0,  1,  0,  0,  0,  -9.583,  66.124,  1555.445,  1.077,  13.139,  1.533,  0.6020599913279624
W9B5, lig_85,  50459449,  8,  2.0,  1.0, 3.1000000000000004e-06, -5.508638306165727, 5.508638306165727, 3.47,   4,  -5.551115123125783e-17,  -1.734723475976807e-18,  0.0,  36.096985865724356,  0.0,  18,  5,  1,  0,  0,  3,  0,  0,  -9.79,  67.172,  1448.282,  0.87,  48.986,  0.847,  0.6989700043360189
7MPB, lig_86,  51476389,  3,  2.0,  1.0, 3.1000000000000004e-06, -5.508638306165727, 5.508638306165727, 1.928,   6,  -0.0029999999999999055,  -7.894736842105014e-05,  0.0,  36.096985865724356,  0.0,  25,  6,  2,  0,  0,  0,  0,  0,  -13.091,  108.108,  2035.934,  1.289,  104.674,  0.042,  0.8450980400142568
LVCE, lig_87,  51476381,  3,  2.0,  1.0, 3.6300000000000004e-06, -5.440093374963888, 5.440093374963888, 2.449,   6,  -0.001999999999999896,  -5.2631578947365686e-05,  0.0,  36.096985865724356,  0.0,  25,  6,  2,  0,  0,  0,  0,  0,  -12.237,  91.544,  2000.386,  0.982,  88.085,  0.0,  0.8450980400142568
6AMA, lig_88,  50579966,  8,  2.0,  1.0, 3.967e-06, -5.401537799525849, 5.401537799525849, 5.025,   5,  1.0000000000000002,  0.02941176470588236,  0.0,  36.096985865724356,  0.0,  20,  6,  2,  0,  2,  0,  0,  0,  -8.451,  79.438,  1512.746,  1.891,  22.159,  1.124,  0.7781512503836436
O3O2, lig_89,  51476385,  3,  2.0,  1.0, 4.84e-06, -5.315154638355588, 5.315154638355588, 1.56,   5,  -0.0019999999999999463,  -5.882352941176313e-05,  0.0,  36.096985865724356,  0.0,  15,  7,  4,  0,  1,  0,  0,  0,  -10.32,  96.065,  1676.882,  1.681,  38.486,  1.252,  0.7781512503836436
08ZC, lig_90,  51476391,  3,  2.0,  1.0, 5.590000000000001e-06, -5.252588192113577, 5.252588192113577, 1.857,   7,  -0.003999999999999948,  -9.756097560975483e-05,  0.0,  36.096985865724356,  0.0,  26,  6,  2,  0,  0,  3,  0,  0,  -13.5,  124.918,  2191.205,  2.314,  111.232,  0.955,  0.9030899869919435
CBIO, lig_91,  51476393,  8,  2.0,  1.0, 6.25e-06, -5.204119982655925, 5.204119982655925, 1.723,   8,  -0.002999999999999895,  -7.692307692307423e-05,  0.0,  36.096985865724356,  0.0,  27,  6,  2,  0,  0,  0,  0,  0,  -11.583,  95.449,  1967.379,  0.761,  88.077,  0.587,  0.9542425094393249
0PEE, lig_92,  51476392,  3,  2.0,  1.0, 9.7e-06, -5.013228265733755, 5.013228265733755, 2.505,   7,  -0.002999999999999864,  -7.692307692307343e-05,  0.0,  36.096985865724356,  0.0,  26,  6,  3,  0,  0,  0,  0,  0,  -11.704,  108.637,  2046.537,  2.336,  86.915,  0.472,  0.9030899869919435
BOOM, lig_93,  50077206,  8,  2.0,  1.0, 1e-05, -5.0, 5.0, 3.912,   10,  -1.0010000000000003,  -0.025666666666666674,  0.0,  36.096985865724356,  0.0,  27,  2,  6,  0,  0,  0,  0,  0,  -8.51,  67.362,  1740.328,  0.804,  47.473,  0.212,  1.041392685158225
XISO, lig_94,  51476376,  8,  2.0,  1.0, 1.1580000000000001e-05, -4.936291440608582, 4.936291440608582, 2.654,   8,  -0.0029999999999998986,  -8.571428571428281e-05,  0.0,  36.096985865724356,  0.0,  23,  6,  2,  0,  0,  0,  0,  0,  -9.992,  83.8,  1803.805,  1.267,  80.593,  0.0,  0.9542425094393249
EQB9, lig_95,  50077184,  8,  2.0,  1.0, 1.2e-05, -4.920818753952375, 4.920818753952375, 4.897,   11,  -2.0020000000000007,  -0.04655813953488374,  0.0,  36.096985865724356,  0.0,  27,  2,  6,  0,  0,  3,  0,  0,  -9.329,  90.529,  1724.402,  2.425,  75.621,  2.183,  1.0791812460476249
KQK2, lig_96,  51476387,  3,  2.0,  1.0, 1.2250000000000001e-05, -4.911863911299449, 4.911863911299449, 1.727,   7,  -1.004,  -0.0251,  0.0,  36.096985865724356,  0.0,  25,  7,  4,  0,  0,  0,  0,  0,  -12.286,  100.984,  2110.002,  0.84,  80.418,  0.0,  0.9030899869919435
HOIT, lig_97,  51476388,  3,  2.0,  1.0, 1.466e-05, -4.8338660296948905, 4.8338660296948905, 2.849,   6,  -0.0039999999999998995,  -0.00010526315789473419,  0.0,  36.096985865724356,  0.0,  25,  6,  2,  0,  0,  0,  0,  0,  -12.296,  88.824,  2050.305,  0.909,  67.121,  0.973,  0.8450980400142568
